ticker,date,mean_sentiment,count,rolling_mean,rolling_std,z_score
1COV,2023-01-04,0.0772,1,0.35686666666666667,0.25360426521124074,-1.1027679934078283
1COV,2023-01-05,0.6705,1,0.43527499999999997,0.2597464452756444,0.905594683886349
1COV,2023-01-06,0.4767,1,0.44356,0.22570859088656772,0.14682648927906722
1COV,2023-01-07,-0.2023,1,0.33591666666666664,0.3320813419430045,-1.6207374479926109
1COV,2023-01-08,-0.34,1,0.23935714285714285,0.39643983089973384,-1.4613999343665138
1COV,2023-01-09,0.0,1,0.2094375,0.3766615757926091,-0.5560362762229744
1COV,2023-01-10,0.5994,1,0.2527666666666667,0.3755481993033651,0.9230062452072243
1COV,2023-01-11,0.7717,1,0.30466000000000004,0.3902498094525836,1.1967718847963886
1COV,2023-01-12,-0.7003,1,0.21330000000000002,0.4784125500026102,-1.9096489002953947
1COV,2023-01-13,0.5423,1,0.2407166666666667,0.46593079828219,0.6472706557394817
1COV,2023-01-14,-0.25,1,0.2029692307692308,0.4663945171644127,-0.9712147422383843
1COV,2023-01-15,-0.2023,1,0.17402142857142858,0.4610020560250688,-0.8163118225897124
1COV,2023-01-16,0.8126,1,0.21659333333333333,0.47384406185197775,1.2578118301983718
1COV,2023-01-17,-0.765,1,0.15524375,0.5194034950065315,-1.7717319171840151
1COV,2023-01-18,-0.4588,1,0.11912352941176471,0.5244979856126853,-1.1018603412493015
1COV,2023-01-19,-0.3612,1,0.09243888888888889,0.521280302985875,-0.8702398427304111
1COV,2023-01-20,-0.6486,1,0.053436842105263165,0.5343584015855175,-1.3137939630446902
1COV,2023-01-21,0.7458,1,0.08805500000000001,0.5426590782773675,1.212077759922426
1COV,2023-01-22,0.0772,1,0.08753809523809523,0.5289239477242361,-0.019545523099447897
1COV,2023-01-23,0.3818,1,0.10091363636363636,0.5199755033565611,0.5401915317609729
1COV,2023-01-24,-0.4019,1,0.07905217391304348,0.5187263386670061,-0.9271790114783209
1COV,2023-01-25,-0.4939,1,0.05517916666666667,0.5206304881576523,-1.0546427440499793
1COV,2023-01-26,0.0,1,0.052972,0.5097880838479194,-0.10390984347881044
1COV,2023-01-27,0.7783,1,0.08086923076923076,0.5193488013035021,1.3428947317877755
1COV,2023-01-28,-0.3182,1,0.06608888888888889,0.5150219303271937,-0.746160243399247
1COV,2023-01-29,-0.7269,1,0.037767857142857145,0.5271450155764446,-1.4505834913504325
1COV,2023-01-30,0.25,1,0.045086206896551725,0.5191442035587703,0.3947145931684293
1COV,2023-01-31,0.5106,1,0.06060333333333334,0.5171466599713666,0.8701529014836569
1COV,2023-02-01,-0.7845,1,0.02040333333333334,0.5347010576228445,-1.5053333481548452
1COV,2023-02-02,0.5859,1,0.020870000000000007,0.5352048522729888,1.0557266018802804
1COV,2023-02-03,-0.296,1,0.008430000000000005,0.538179360660904,-0.5656664343763551
1COV,2023-02-04,0.6705,1,0.008430000000000005,0.538179360660904,1.2302032526608855
1COV,2023-02-05,0.0,1,-0.007459999999999994,0.5308643963483941,0.014052552876618548
1COV,2023-02-06,0.0,1,-0.0007166666666666608,0.5295874146093765,0.0013532547165896567
1COV,2023-02-07,0.7674,1,0.03619666666666667,0.5435335941039342,1.3452771664257297
1COV,2023-02-08,-0.4215,1,0.022146666666666672,0.5499118498220534,-0.8067596048534447
1COV,2023-02-09,0.296,1,0.012033333333333335,0.5416575482167952,0.5242549791866108
1COV,2023-02-10,0.3818,1,-0.0009633333333333346,0.5272884648472025,0.7259087934803398
1COV,2023-02-11,-0.8225,1,-0.005036666666666667,0.5333147349738518,-1.5327972015875637
1COV,2023-02-12,-0.296,1,-0.03298,0.5255529412618347,-0.5004633774258744
1COV,2023-02-13,0.4767,1,-0.008756666666666666,0.5319140406852979,0.9126599967942616
1COV,2023-02-14,0.6908,1,0.021013333333333332,0.5455265338427057,1.227780181375723
1COV,2023-02-15,-0.8779,1,-0.03533666666666667,0.5482433649665858,-1.5368418245876732
1COV,2023-02-16,-0.765,1,-0.03533666666666667,0.5482433649665858,-1.3309113797990144
1COV,2023-02-17,0.3612,1,-0.008003333333333335,0.5468423346395402,0.6751549943123909
1COV,2023-02-18,-0.296,1,-0.00583,0.5455181694562488,-0.5319162884881179
1COV,2023-02-19,0.128,1,0.020056666666666664,0.5322290709079505,0.20281367409936585
1COV,2023-02-20,0.5574,1,0.013776666666666666,0.5244247111956526,1.0366089196939428
1COV,2023-02-21,0.6597,1,0.03319333333333333,0.5374749802891122,1.1656480573842964
1COV,2023-02-22,0.6249,1,0.04129666666666667,0.5446961041264887,1.0714292408410722
1COV,2023-02-23,0.128,1,0.058960000000000005,0.538383785429867,0.12823565989246075
1COV,2023-02-24,-0.4019,1,0.06202666666666667,0.5353797085880414,-0.8665376352984724
1COV,2023-02-25,0.3182,1,0.07263333333333334,0.5372572095332014,0.4570746791467507
1COV,2023-02-26,-0.4215,1,0.03264,0.5274836906123913,-0.8609555292084164
1COV,2023-02-27,0.8519,1,0.07164333333333334,0.5436591450426506,1.435194595329496
1COV,2023-02-28,0.5574,1,0.11445333333333332,0.5289775405787864,0.8373638438070771
1COV,2023-03-01,0.5574,1,0.1247,0.5346406766263192,0.8093286181111703
